date,market,close,volume
2026/5/1,Nikkei,59512,120000
2026/5/1,TOPIX,3801,90000
2026/5/2,Nikkei,59800,135000
2026/5/2,TOPIX,3820,95000
2026/5/3,Nikkei,59200,180000
2026/5/3,TOPIX,3790,120000
2026/5/4,Nikkei,58800,210000
2026/5/4,TOPIX,3750,160000
2026/5/5,Nikkei,60100,150000
2026/5/5,TOPIX,3810,100000
2026/5/6,Nikkei,61100,170000
2026/5/6,TOPIX,3860,110000
2026/5/7,Nikkei,62833,250000
2026/5/7,TOPIX,3920,180000
2026/5/8,Nikkei,63000,260000
2026/5/8,TOPIX,3950,190000
2026/5/11,Nikkei,62418,300000
2026/5/11,TOPIX,3841,220000
2026/5/12,Nikkei,62743,310000
2026/5/12,TOPIX,3873,230000
